Initiating Exchange,Option Symbol,Option Name,Program List Date
BOX,MO,"ALTRIA GROUP, INC.",4/22/2008
PHLX,MODN,"Model N, Inc.",11/22/2013
AMEX,MPEL,Melco Crown Entertainment Ltd,7/13/2010
ARCA,MRK,MERCK & CO,3/31/2009
ARCA,MRO,MARATHON OIL CORP,4/3/2009
ARCA,MRVL,MARVELL TECHNOLOGY GROUP,3/26/2009
BOX,MS,MORGAN STANLEY,4/22/2008
AMEX,MSCI,MSCI Inc,1/28/2013
ARCA,MSFT,MICROSOFT CORPORATION,1/30/2008
C2,MSI,Motorola Solutions Inc.,9/29/2011
PHLX,MSTX,"Mast Therapeutics, Inc.",3/11/2013
ARCA,MT,Arcelor Mittal,3/31/2009
AMEX,MTG,MGIC INVESTMENT CORPORATION,5/7/2010
PHLX,MTL,Mechel,7/9/2010
NSDQ,MTOR,"Meritor, Inc.",3/30/2011
CBOE,MTW,"THE MANITOWOC COMPANY,  INC",2/12/2010
PHLX,MU,MICRON TECH,7/28/2003
CBOE,MUX,McEwen Mining Inc.,5/9/2012
BOX,MW,"MEN'S WEARHOUSE, INC. (THE)",8/11/2010
NSDQ,MWW,MONSTER WORLDWIDE INC,7/20/2010
AMEX,MXIM,MAXIM INTEGRATED PROD. IN,7/13/2010
ISE,MYGN,MYRIAD GENETICS INC,10/19/2009
NSDQ,MYL,Mylan Inc.,9/2/2009
AMEX,NAK,Northern Dynasty Minerals Ltd.,2/15/2011
PHLX,NANO,Nanometrics Inc,8/10/2010
ISE,NAT,Nordic American Tankers Ltd,10/12/2009
NSDQ,NAV,Navistar International Corp.,6/13/2012
CBOE,NAVB,Navidea  Biopharmaceuticals Inc.,1/19/2012
PHLX,NBG,National Bank of Greece S.A.,4/29/2010
BOX,NBIX,NEUROCRINE BIOSCIENCES,8/11/2010
NSDQ,NBR,NABORS INDS. INC.,7/24/2009
BOX,NCI,"NAVIGANT CONSULTING, INC",8/11/2010
BOX,NCR,NCR CORP,8/11/2010
NSDQ,NDAQ,Nasdaq OMX Group,7/24/2009
BOX,NE,Noble Corporation plc,4/9/2009
AMEX,NEM,NEWMONT MINING CO,4/2/2009
AMEX,NEON,"Neonode, Inc.",4/30/2013
CBOE,NEPT,Neptune Technologies & Bioressources Inc,7/15/2013
BOX,NFX,NEWFIELD EXPLORATION COMPANY,10/19/2012
PHLX,NG,NOVAGOLD RESOURCES INC,7/14/2010
AMEX,NGD,New Gold Inc.,7/13/2010
ARCA,NGLS,Targa Resources Partners LP,8/18/2010
AMEX,NI,"NISOURCE, INC",1/30/2013
ISE,NIHD,"NII HOLDINGS, INC.",7/9/2010
BOX,NKTR,NEKTAR THERAPEUTICS,8/11/2010
BOX,NLY,Annaly Capital Management Inc,4/22/2008
ISE,NOG,Northern Oil and Gas Inc,1/12/2011
PHLX,NOK,NOKIA CORP,10/10/2011
CBOE,NPSP,"NPS PHARMACEUTICALS, INC.",12/13/2010
CBOE,NQ,NQ Mobile Inc.,8/13/2013
PHLX,NRF,Northstar Realty Finance Corp.,8/15/2013
NSDQ,NRG,"NRG Energy, Inc.",7/9/2010
BOX,NSC,NORFOLK SOUTHERN CORP,4/9/2009
ISE,NTAP,Netapp Inc,3/31/2009
BOX,NTES,"NetEase, Inc. American Depositary Shares",2/12/2010
BOX,NTGR,NETGEAR INC,8/11/2010
NSDQ,NTRI,"NUTRISYSTEM ,  inc",2/12/2010
ARCA,NUAN,"Nuance Communications, Inc.",8/18/2010
AMEX,NUE,NUCOR CORPORATION,4/2/2009
PHLX,NVAX,"NOVAVAX, INC",8/5/2009
ARCA,NVDA,NVIDIA CORP.,3/26/2009
BOX,NVTL,NOVATEL WIRELESS INC,8/11/2010
ARCA,NWL,"NEWELL RUBBERMAID, INC.",7/14/2010
AMEX,NWSA,The News Corporation (new) CL A,7/9/2013
ISE,NYCB,NEW YORK COMM. BANCORP,11/16/2012
BOX,NYT,NEW YORK TIMES - CLASS A,8/11/2010
PHLX,OC,Owens Corning Inc.,7/9/2010
ARCA,OCR,OMNICARE INC,8/18/2010
NSDQ,ODP,OFFICE DEPOT INC.,9/2/2009
NSDQ,OI,OWENS-ILLINOIS INC.,7/20/2010
NOBO,OLED,UNIVERSAL DISPLAY CORPORATION,6/25/2013
AMEX,OMER,Omeros Corporation,12/27/2012
AMEX,OMEX,Odyssey Marine Exploration Inc.,2/2/2012
AMEX,ONCY,Oncolytics Biotech Inc.,12/27/2012
CBOE,ONNN,ON SEMICONDUCTOR CORP,8/14/2009
ARCA,ONTY,"Oncothyreon, Inc.",7/14/2010
PHLX,ONVO,"Organovo Holdings, Inc.",11/15/2013
CBOE,OPK,"Opko Health, Inc.",11/18/2011
PHLX,ORCL,ORACLE SYSTEMS INC.,7/28/2003
AMEX,OREX,Orexigen  Therapeutics Inc,7/13/2010
ISE,OSIR,"Osiris Therapeutics, Inc.",8/14/2013
PHLX,OSK,Oshkosh Corp,7/14/2010
PHLX,OVTI,OMNIVISION TECHNOLOGIES,7/9/2010
ISE,P,"Pandora Media, Inc.",6/22/2011
NSDQ,PAAS,PAN AMERICAN SILVER CORP.,7/24/2009
CBOE,PATH,NuPathe Inc.,1/10/2013
BOX,PAY,"VeriFone  Systems, Inc.",8/11/2010
NSDQ,PAYX,"PAYCHEX, INC",7/14/2010
ARCA,PBCT,PEOPLES BANK,7/14/2010
ARCA,PBI,PITNEY-BOWES INC,7/14/2010
ISE,PBR,PETROLEO BRASILEIRO SA,3/23/2009
ARCA,PBY,Pep Boys,5/4/2012
ISE,PCAR,PACCAR INC.,5/22/2009
PHLX,PCL,PLUM CREEK TIMBER CO,7/9/2010
ISE,PDCO,"PATTERSON  COMPANIES, INC..",7/9/2010
ARCA,PDLI,PDL BioPharma,7/14/2010
BOX,PDS,Precision Drilling Corporation,8/11/2010
PHLX,PEI,Penn Real Estate Invest Tst,4/21/2009
AMEX,PFE,PFIZER,12/1/2008
PHLX,PFG,"PRINCIPAL FINANCIAL GROUP, INC.",3/30/2009
BOX,PGH,Pengrowth Energy Corporation,8/11/2010
BOX,PGNX,PROGENICS PHARMACEUTICALS,8/11/2010
BOX,PGR,PROGRESSIVE CORPORATION,8/11/2010
ARCA,PHM,"Pulte Group, Inc.",4/2/2009
CBOE,PIR,"PIER 1 IMPORTS, INC.",8/12/2010
NSDQ,PLD,PROLOGIS,7/24/2009
ARCA,PLUG,PLUG POWER INC,12/6/2013
CBOE,PLX,Protalix BioTherapeutics Inc.,4/19/2012
ARCA,PMCS,SIERRA SEMICONDUCTOR,7/14/2010
ISE,PNC,PNC FINANCIAL CORP.,3/31/2009
BOX,PNK,PINNACLE ENTERTAINMENT INC,8/11/2010
ISE,POT,POTASH CORP,4/24/2012
PHLX,POZN,"POZEN, Inc.",7/9/2010
CBOE,PPHM,"Peregrine Pharmaceuticals, Inc.",9/10/2012
ARCA,PPL,PPL CORPORATION,7/14/2010
BOX,PQ,"PETROQUEST ENERGY, INC",8/11/2010
PHLX,PRAN,Prana Biotechnology Ltd.,11/21/2013
PHLX,PRKR,"ParkerVision, Inc.",9/30/2013
AMEX,PSTI,Pluristem Therapeutics Inc,1/15/2013
AMEX,PTEN,PATTERSON-UTI ENERGY INC,2/15/2011
NSDQ,PWE,Penn West Petroleum Ltd.,7/14/2010
AMEX,PWR,"QUANTA SERVICES, INC.",7/13/2010
PHLX,PWRD,Perfect  World Co. Ltd,7/14/2010
BOX,QCOM,Qualcomm Inc.,3/25/2009
CBOE,QCOR,Questcor Pharmaceuticals Corporation Inc,8/12/2010
ISE,QIHU,Qihoo 360 Technology Co Ltd,3/27/2012
ISE,QLIK,"QLIK Technologies, Inc.",3/15/2011
PHLX,QTWW,Quantum Fuel Systems Technologies Worldwide Inc.,10/2/2013
ISE,RAD,RITE AID CORPORATION,3/21/2011
AMEX,RAI,REYNOLDS AMERICAN INC.,2/15/2011
AMEX,RAS,RAIT Financial Trust,7/13/2010
AMEX,RBCN,"Rubicon Technology, Inc.",2/15/2011
NSDQ,RCL,"ROYAL CARIBBEAN CRUISES, LTD.",9/2/2009
NSDQ,RDC,Rowan Companies plc,7/9/2010
PHLX,RDN,RADIAN GROUP,7/9/2010
NSDQ,RDWR,RADWARE,11/9/2010
PHLX,REE,Rare Element Resources Ltd.,10/21/2010
ISE,RENN,"Renren, Inc.",5/11/2011
BOX,RF,REGIONS FINANCIAL CORP,4/13/2009
CBOE,RFMD,RF MICRO DEVICES,8/12/2010
CBOE,RHT,"RED HAT, INC.",4/9/2010
ISE,RIG,Transocean Ltd,4/24/2012
PHLX,RMBS,RAMBUS INC,2/11/2008
CBOE,RMTI,"Rockwell Medical, Inc.",5/15/2013
PHLX,RNA,Prosensa Holding N.V.,9/23/2013
NSDQ,ROYL,Royale Energy Inc.,4/11/2013
BOX,RRD,DONNELLY R.R. AND SONS COMPANY,8/11/2010
NSDQ,RS,RELIANCE STEEL & ALUMINUM CO.,7/20/2010
C2,RSH,RADIOSHACK CORP.,9/29/2011
PHLX,RTN,RAYTHEON CO,3/30/2009
NSDQ,RVBD,"Riverbed Technology, Inc.",7/20/2010
ARCA,RYL,"THE RYLAND GROUP, INC",4/2/2009
AMEX,S,SPRINT CORPORATION,7/11/2013
PHLX,SA,SEABRIDGE GOLD INC,7/14/2010
PHLX,SAN,Banco Santander S. A.,6/14/2012
CBOE,SANM,Sanmina Corporation,8/12/2010
C2,SBUX,STARBUCKS CORP,9/29/2011
PHLX,SCCO,SOUTHERN COPPER CORPORATION,7/2/2010
PHLX,SCHN,"SCHNITZER STEEL INDUSTRIES, INC",7/14/2010
AMEX,SCHW,Charles Schwab Corp.,4/2/2009
AMEX,SCSS,Select Comfort Corporation,10/7/2013
ISE,SCTY,Solarcity Corporation,6/6/2013
NSDQ,SD,"Sandridge Energy, Inc.",9/2/2009
CBOE,SDRL,Seadrill Ltd.,10/19/2011
BOX,SE,Spectra Energy Corp.,8/11/2010
ISE,SEE,SEALED AIR CORP,11/21/2013
BOX,SGI,Silicon Graphics International Corp,8/11/2010
AMEX,SGMO,"Sangamo BioSciences, Inc.",7/13/2010
ARCA,SGY,STONE ENERGY CORPORATION,7/14/2010
BOX,SHFL,"SHFL Entertainment, Inc.",8/11/2010
CBOE,SHLD,Sears Holding Corporation,12/28/2011
PHLX,SID,COMPANHIA SIDERURGICAL NACIONAL ADR,7/9/2010
AMEX,SIGA,Siga Technologies Inc,7/13/2010
PHLX,SIMG,SILICON IMAGE INC,2/8/2013
C2,SIRI,Sirius XM Holdings Inc.,9/29/2011
PHLX,SKUL,Skullcandy Inc.,9/12/2012
PHLX,SKX,SKETCHERS USA INCORPORATED,7/9/2010
ARCA,SLM,SLM CORP,3/27/2009
NSDQ,SLW,Siliver Wheaton Corp,9/2/2009
BOX,SMTC,SEMTECH CORPORATION,8/11/2010
ARCA,SN,Sanchez Energy Corp.,3/19/2013
NSDQ,SNE,SONY CORPORATION,7/14/2010
ISE,SNTA,Synta Pharmaceuticals Corporation,7/18/2013
PHLX,SNV,SYNOVOUS FINANCIAL CORP,4/20/2010
CBOE,SNY,Sanofi,3/21/2013
PHLX,SO,SOUTHERN CO,3/30/2009
AMEX,SOL,ReneSola Ltd (ADS),10/1/2013
AMEX,SONS,SONUS NETWORKS,7/13/2010
ISE,SPF,STANDARD PACIFIC CORP,7/9/2010
BOX,SPLS,STAPLES INC.,2/12/2010
AMEX,SPPI,SPECTRUM PHARMACEUTICALS INC,7/13/2010
PHLX,SPRD,Spreadtrum Communications Inc,11/9/2010
BOX,SPWR,SunPower Corporation,11/22/2011
PHLX,SQNM,Sequenom Inc.,3/30/2009
NSDQ,SRPT,"Sarepta Therapeutics, Inc.",10/4/2012
PHLX,SSRI,SILVER STANDARD RESOURCES INC.,3/30/2009
PHLX,STAR,ISTAR FINANCIAL INC.,12/19/2013
PHLX,STI,"SUNTRUST BANKS, INC.",2/26/2009
ISE,STJ,SAINT JUDE MEDICAL INC.,7/26/2012
PHLX,STLD,STEEL DYNAMICS INC,3/30/2009
AMEX,STR,QUESTAR CORPORATION,7/13/2010
CBOE,STSI,"Star Scientific, Inc.",2/12/2010
C2,STX,SEAGATE TECH PLC (IRL),9/29/2011
BOX,SU,SUNCOR ENERGY,4/3/2009
BOX,SUNE,"SunEdison, Inc.",6/3/2013
PHLX,SUPN,"Supernus Pharmaceuticals, Inc.",3/28/2013
ARCA,SVM,Silvercorp Metals Inc.,7/14/2010
NSDQ,SVU,SUPERVALU INC.,7/14/2010
PHLX,SWC,STILLWATER MINING CO,7/2/2010
PHLX,SWHC,Smith & Wesson Holding Corp.,7/14/2010
PHLX,SWKS,"Skyworks Solutions, Inc",7/9/2010
BOX,SWN,SOUTHWESTERN ENERGY COMPANY,4/3/2009
NSDQ,SWY,"SAFEWAY, INC.",7/20/2010
BOX,SYMC,SYMANTEC CORPORATION,2/12/2010
CBOE,SYNA,"SYNAPTICS, INC.",2/12/2010
NSDQ,SYY,SYSCO CORPORATION,7/20/2010
NSDQ,T,AT & T Inc,7/28/2008
CBOE,TASR,TASER INTERNATIONAL INC,9/18/2013
CBOE,TC,Thompson Creek Metals Co Inc,8/12/2010
BOX,TCB,TCF FINANCIAL CORP.,8/11/2010
PHLX,TCK,Teck Resources LTD,7/24/2009
PHLX,TEF,TELEFONICA S.A. ADR,7/24/2012
BOX,TEN,TENNECO INC,8/11/2010
CBOE,TER,"TERADYNE,INC",8/12/2010
BOX,TEX,TEREX CORPORATION,4/21/2009
CBOE,TGB,Taseko Mines Limited,7/28/2010
ISE,TGT,TARGET CORPORATION,3/23/2009
ARCA,THC,TENET HEALTHCARE CORP,6/30/2003
AMEX,THOR,THORATEC LABS CORPORATION,7/13/2010
ISE,THRX,"THERAVANCE, Inc",1/29/2013
BOX,TIBX,"TIBCO SOFTWARE, INC.",8/11/2010
ISE,TIVO,"TIVO, INC.",2/26/2010
NSDQ,TLAB,"TELLABS, INC.",4/28/2010
CBOE,TLM,TALISMAN ENERGY INC,8/12/2010
CBOE,TMUS,"T-Mobile US, Inc.",5/1/2013
ARCA,TOL,TOLL BROTHERS INC,3/27/2009
ISE,TOO,Teekay Offshore Partners LP,3/27/2012
ARCA,TPX,"Tempur Sealy International, Inc.",8/18/2010
ARCA,TQNT,TRIQUENT SEMCNDCTR. INC.,7/14/2010
ISE,TRGP,Targa Resources Corp.,2/8/2011
CBOE,TRIP,TripAdvisor Inc.,5/1/2012
AMEX,TRN,TRINITY INDUSTRIES INC.,7/13/2010
ISE,TROX,Tronox Ltd.,9/25/2013
NSDQ,TRQ,Turquoise Hill Resources Ltd.,8/9/2012
AMEX,TRX,Tanzanian Royalty Exploration,6/14/2011
ISE,TSL,Trina Solar Ltd. (ADS),10/12/2009
CBOE,TSN,TYSON FOODS INC,4/23/2010
ISE,TSO,TESORO  CORP,4/24/2009
ARCA,TSRA,"TESSERA TECHNOLOGIES, INC.",7/14/2010
ARCA,TTM,Tata Motors Ltd.,8/18/2010
PHLX,TTWO,TAKE-TWO INTERACTIVE,7/14/2010
AMEX,TV,"GRUPO TELEVISA,S.A.",7/13/2010
PHLX,TWGP,"Tower Group International, Ltd.",9/18/2013
CBOE,TWO,Two Harbors Investment Corporation,9/27/2011
CBOE,TWTR,"Twitter, Inc.",11/14/2013
AMEX,TX,TERNIUM S A  ADS,2/15/2011
ISE,TXN,TEXAS INSTRUMENTS,3/31/2009
AMEX,TXT,TEXTRON INC.,4/1/2009
BOX,TYC,"TYCO INTERNATIONAL, LTD",4/21/2009
BOX,UAL,"United Continental Holdings, Inc",10/1/2010
AMEX,UBNT,Ubiquiti Networks Inc.,6/18/2012
BOX,UBS,UBS AG,4/1/2009
BOX,UEPS,NET 1 UEPS TECHNOLOGIES,8/11/2010
CBOE,UIS,UNISYS CORPORATION,8/12/2010
NSDQ,UNM,Unum Group,3/26/2013
BOX,UNXL,Uni-Pixel Inc.,4/18/2013
BOX,UPL,ULTRA PETROLEUM CORP,4/21/2009
BOX,URBN,URBAN OUTFITTERS INC,2/12/2010
BOX,URI,"UNITED RENTALS, INC.",8/11/2010
ISE,USB,U.S. BANCORP,3/23/2009
PHLX,USG,USG CORP,7/9/2010
C2,VALE,Vale  S.A.,9/29/2011
AMEX,VCI,VALASSIS COMMUNICATIONS INC,10/4/2013
BOX,VCLK,"VALUECLICK, INC..",8/11/2010
PHLX,VECO,VEECO INSTRUMENTS,7/2/2010
PHLX,VG,Vonage Holdings Corp,2/4/2011
CBOE,VHC,VirnetX Holding Corporation,8/12/2010
CBOE,VICL,Vical Inc,8/2/2013
AMEX,VIP,VimpelCom Ltd.,2/15/2011
NSDQ,VLO,VALERO ENERGY CORP.,7/28/2008
CBOE,VLY,VALLEY NATIONAL BANCORP,8/12/2010
NSDQ,VMC,VULCAN MATERIALS COMPANY,7/14/2010
BOX,VNDA,"Vanda Pharmaceuticals, Inc.",8/11/2010
PHLX,VOD,VODAFONE GROUP PLC,7/9/2010
PHLX,VRNG,Vringo Inc,6/4/2012
NSDQ,VRSN,"VERISIGN, INC.",9/2/2009
C2,VVUS,VIVUS,9/29/2011
BOX,VZ,VERIZON COMM,3/25/2009
CBOE,WAC,Walter Investment Management Corp,8/12/2010
AMEX,WEN,The Wendy's Company,7/13/2010
NSDQ,WFC,WELLS FARGO & CO,7/28/2008
AMEX,WFT,WEATHERFORD INTERNATIONAL,4/1/2009
ARCA,WIN,"Windstream Holdings, Inc.",7/14/2010
ISE,WLL,Whiting Petroleum Corp.,7/26/2012
ISE,WLT,"Walter Energy, Inc.",6/6/2013
NSDQ,WM,WASTE MANAGEMENT INC,7/14/2010
NSDQ,WMB,WILLIAMS COMPANIES,2/12/2010
NSDQ,WNR,WESTERN REFINING INC,7/14/2010
CBOE,WPRT,Westport Innovations Inc,2/21/2012
AMEX,WTSL,The Wet Seal Inc,6/7/2013
PHLX,WU,The Western Union Company,7/9/2010
ISE,WY,WEYERHAEUSER CO,5/22/2009
ISE,X,UNITED STATES STEEL,3/23/2009
NSDQ,XCO,"EXCO Resources, Inc.",7/9/2010
NSDQ,XL,XL Group plc,9/2/2009
BOX,XLNX,XILINX INC,4/1/2009
NSDQ,XNPT,Xenoport Inc.,7/14/2010
AMEX,XRX,XEROX CORP,6/30/2003
ISE,YELP,Yelp Inc,3/9/2012
PHLX,YGE,"Yingli Green Energy Holding Co., Ltd",7/24/2009
ARCA,YHOO,YAHOO INC,7/23/2008
ISE,YNDX,Yandex NV,6/1/2011
ARCA,YOKU,Youku Tudou Inc.,12/15/2010
ARCA,YONG,Yongye International Inc.,7/14/2010
AMEX,YZC,Yanzhou Coal Minning Company,7/13/2010
AMEX,ZAGG,ZAGG Inc,2/15/2011
AMEX,ZION,ZIONS BANCORP,4/1/2009
CBOE,ZIOP,"Ziopharm Oncology, Inc.",8/12/2010
ISE,ZNGA,Zynga Inc.,12/23/2011
AMEX,ZQK,"QUIKSILVER, INC",7/13/2010
NSDQ,ZTS,Zoetis Inc.,6/13/2013
