Initiating Exchange,Option Symbol,Option Name,Program List Date
ARCA,BPI,Bridgepoint Education Inc.,5/15/2013
PHLX,BPOP,Popular Inc.,6/1/2012
AMEX,BPZ,BPZ Resources Inc,7/13/2010
PHLX,BRCD,"BROCADE COMM., SYSTEMS",7/28/2003
NSDQ,BRCM,BROADCOM CORP.,7/28/2008
ARCA,BSBR,Banco Santander Brasil SA,2/15/2011
AMEX,BSDM,BSD Medical Corp,8/2/2013
ISE,BSX,BOSTON SCIENTIFIC CORP,4/24/2009
BOX,BTU,PEABODY ENERGY CORPORATION,4/1/2009
ISE,BVN,COMPANIA DE MINAS BUENAVENTURA S.A.-ADR,7/9/2010
BOX,BX,The Blackstone Group LP,3/30/2009
AMEX,BYD,BOYD GAMING CORP.,7/13/2010
PHLX,BZH,BEAZER HOMES USA INC.,7/9/2010
ARCA,C,CITIGROUP INC,12/1/2008
ARCA,CA,"CA, Inc.",7/14/2010
CBOE,CADX,CADENCE PHARMACEUTICALS INCCOM,11/14/2011
CBOE,CAG,CONAGRA FOODS INC,8/12/2010
NSDQ,CAKE,THE CHEESECAKE FACTORY,7/14/2010
PHLX,CAR,Avis Budget Group Inc,7/9/2010
CBOE,CAVM,"Cavium, Inc.",7/28/2010
BOX,CBG,CBRE Group  Inc.,8/10/2010
ISE,CBI,CHICAGO BRIDGE & IRON CO. NV-N,7/9/2010
PHLX,CBOE,"CBOE Holdings, Inc.",7/2/2010
AMEX,CBRX,"Columbia Laboratories, Inc.",6/25/2013
NSDQ,CBS,CBS Corporation CL B,9/2/2009
BOX,CBST,CUBIST PHARMACEUTICALS,8/10/2010
AMEX,CCE,COCA COLA ENTERPRISES INC,7/13/2010
BOX,CCJ,CAMECO CORPORATION,3/30/2009
BOX,CCK,CROWN HOLDINGS INC.,8/10/2010
PHLX,CCL,CARNIVAL CORPORATION,3/30/2009
CBOE,CDE,Coeur Mining Inc.,3/1/2010
BOX,CDNS,"CADENCE DESIGN SYSTEMS, I",8/10/2010
AMEX,CECO,CAREER EDUCATION CORP,4/3/2009
C2,CENX,CENTURY ALUMINUM COMPANY,9/29/2011
ARCA,CFN,CareFusion Corporation,2/15/2011
NSDQ,CFX,Colfax Corporation,5/10/2013
PHLX,CGA,"China Green Agriculture, Inc.",7/14/2010
ISE,CHK,CHESAPEAKE ENERGY CORP.,3/23/2009
NSDQ,CHKP,CHECK POINT SOFTWARE,7/14/2010
ISE,CHS,"CHICO'S FAS, INC.",7/9/2010
ARCA,CHTP,Chelsea Therapeutics International,2/15/2011
AMEX,CHU,CHINA UNICOM LTD. -ADR,7/13/2010
NSDQ,CIEN,Ciena Corp (New),9/2/2009
CBOE,CIM,Chimera Investment Corp,9/3/2010
CBOE,CISG,Cninsure Inc,4/14/2011
ARCA,CIT,"CIT Group, Inc.",12/21/2009
AMEX,CJES,C&J Energy Services Inc.,7/24/2012
ARCA,CLDX,"Celldex Therapeutics, Inc.",7/13/2010
BOX,CLF,Cliffs Natural Resources Inc,4/1/2009
AMEX,CLNE,Clean Energy Fuels Corp,5/5/2010
ISE,CLSN,Celsion Corporation,4/20/2012
NSDQ,CMA,"COMERICA, INC.",7/9/2010
CBOE,CMC,COMMERCIAL METALS COMPANY,4/23/2010
ARCA,CMCSA,COMCAST CORPORATION CLASS,3/23/2009
BOX,CMCSK,COMCAST CORP SPECIAL CLA,4/7/2009
PHLX,CNO,"CNO Financial Group, Inc",8/5/2009
BOX,CNQ,CANADIAN NATURAL RESOURCES LIMITED,4/2/2009
BOX,CNX,CONSOL ENERGY,4/7/2009
PHLX,COCO,CORINTHIAN COLLEGES,7/9/2010
BOX,COF,CAPITAL ONE FINANCIAL,3/25/2009
BOX,COH,COACH INC.,4/8/2009
CBOE,CORT,"Corcept Therapeutics, Inc.",3/9/2012
BOX,CPB,CAMPBELL SOUP CO,8/10/2010
BOX,CPN,Calpine Corporation,8/10/2010
ARCA,CPWR,COMPUWARE CORP,11/5/2013
CBOE,CQB,Chiquita Brands Intl Inc,8/12/2010
CBOE,CQP,Cheniere Energy Ptnrs L.P.,8/12/2010
PHLX,CRM,SALESFORCE COM INC,4/18/2013
CBOE,CROX,CROCS INC,1/31/2008
PHLX,CRUS,"CIRRUS LOGIC, INC.",7/9/2010
PHLX,CS,CREDIT SUISSE GROUP- SPON adr,7/14/2010
CBOE,CSC,COMPUTER SCIENCES CORP,6/20/2012
PHLX,CSCO,"CISCO SYSTEMS, INC.",2/11/2008
AMEX,CSE,CAPITAL SOURCE INC,7/13/2010
PHLX,CSIQ,Canadian Solar Inc,7/24/2009
ISE,CST,"CST Brands, Inc.",6/17/2013
AMEX,CTB,COOPER TIRE & RUBBER CO.,6/20/2013
AMEX,CTIC,"Cell Therapeutics, Inc.",10/8/2012
PHLX,CTL,CenturyLink Inc,7/14/2010
NSDQ,CTRP,"CTRIP.COM INTERNATIONAL, LTD ADR",2/12/2010
BOX,CVC,CABLEVISION SYSTEMS INC,8/10/2010
AMEX,CX,Cemex SAB de CV,3/26/2009
ISE,CXW,CORRECTIONS CORP OF AMERICA,8/1/2012
ISE,CY,CYPRESS SEMICONDUCTOR CORP.,1/29/2008
BOX,CYH,"COMMUNITY HEALTH SYSTEMS, INC.",8/10/2010
PHLX,CYOU,CHANGYOU COM LTDADS REP CL A,7/27/2009
CBOE,CYS,CYS Investments  Inc,8/17/2011
BOX,DAL,"Delta Air Lines, Inc.",3/25/2009
ISE,DAN,Dana Holding Corporation,7/9/2010
ARCA,DANG,"E-Commerce China Dangdang, Inc.",12/15/2010
ISE,DAR,"Darling International, Inc.",9/26/2013
ISE,DB,DEUTSCHE BANK AG,7/19/2012
ISE,DCTH,"Delcath Systems, Inc.",4/6/2010
CBOE,DDD,3D Systems Corp,3/1/2013
ARCA,DEPO,"Depomed, Inc.",2/15/2011
PHLX,DF,DEAN FOODS CO. (NEW),7/9/2010
NSDQ,DFS,Discover Financial Services,10/8/2009
CBOE,DG,Dollar General Corporation,11/17/2011
AMEX,DGIT,Digital Generation  Inc.,8/12/2013
AMEX,DHI,D.R. HORTON INC,3/26/2009
AMEX,DISH,Dish Network Corp,4/3/2009
ISE,DKS,DICKS SPORTING GOODS INC,7/9/2010
PHLX,DMND,"Diamond Foods, Inc.",12/9/2011
PHLX,DNDN,DENDREON CORP.,4/3/2009
ARCA,DNN,Denison Mines Corp,2/15/2011
BOX,DNR,DENBURY RESOURCES INC,4/20/2010
ARCA,DOW,DOW CHEMICAL,3/23/2009
BOX,DPZ,DOMINO'S PIZZA INC,8/10/2010
BOX,DRI,DARDEN RESTAURANTS INC,4/8/2009
ISE,DRIV,"DIGITAL RIVER, INC",7/9/2010
ARCA,DRYS,DRY SHIPS INC,3/23/2009
CBOE,DSCO,Discovery Laboratories Inc.,3/2/2012
ISE,DSX,DIANA SHIPPING INC,7/9/2010
CBOE,DVAX,Dynavax Technologies Corp.,11/20/2012
AMEX,DWA,"DREAMWORKS ANIMATION SKG,  INC.  CLASS A",10/10/2013
ARCA,EA,ELECTRONIC ARTS,12/20/2011
NSDQ,EBAY,EBAY INC,7/28/2008
AMEX,EBIX,"Ebix, Inc.",7/13/2010
NSDQ,ECA,ENCANA CORP.,2/12/2010
CBOE,EDU,New Oriental Education & Tech,11/22/2011
CBOE,EGLE,EAGLE Bulk Shiping Inc,8/12/2010
CBOE,EGO,ELDORADO GOLD CORP,3/1/2010
PHLX,EJ,E-House (China) Holdings Ltd.,7/14/2010
ISE,ELN,ELAN CORPORATION PLC,5/1/2007
BOX,ELNK,EarthLink Inc,8/10/2010
ARCA,ELX,EMULEX CORPORATION,7/13/2010
BOX,ELY,CALLAWAY GOLF CO,8/10/2010
ISE,EMC,EMC CORP,6/25/2003
BOX,EMR,EMERSON ELECTRIC CO,4/2/2009
AMEX,ENTR,Entropic Communications Inc,1/20/2012
ARCA,ERF,Enerplus Corporation,7/13/2010
ISE,ERIC,Ericsson,4/21/2010
NSDQ,ESV,Ensco PLC,7/9/2010
C2,ETFC,E*TRADE Financial Corporation,9/29/2011
PHLX,EXAS,Exact Sciences Corp.,10/28/2010
NSDQ,EXC,EXELON CORPORATION,7/9/2010
ARCA,EXEL,"EXELISIS, INC.",7/13/2010
CBOE,EXPD,EXPEDITORS INTERNATIONAL,5/9/2013
NSDQ,EXPE,"EXPEDIA, INC",7/9/2010
ARCA,EXXI,Energy XXI (Bermuda) Ltd,2/15/2011
ARCA,EZCH,EZchip Semiconductor Ltd.,7/13/2010
AMEX,F,FORD MOTOR COMPANY,7/24/2006
ISE,FAST,FASTENAL COMPANY,8/1/2012
CBOE,FB,Facebook Inc.,5/25/2012
AMEX,FBP,FIRST BANCORP PUERTO RICO,7/13/2010
BOX,FCEL,"FUELCELL ENERGY, INC.",8/10/2010
ARCA,FCN,"FTI CONSULTING, INC.",7/13/2010
BOX,FCS,FAIRCHILD SEMICONDUCTOR,8/10/2010
ISE,FCX,FREEPORT MCMORAN COPPER - CL B,5/17/2011
AMEX,FE,FIRSTENERGY CORP.,7/13/2010
ARCA,FHN,FIRST HORIZON NATIONAL CORPORATION,7/13/2010
PHLX,FIG,Fortress Investment Group LLC,7/14/2010
ISE,FIO,Fusion-io Inc.,3/27/2012
PHLX,FIS,"Fidelity National Information Services, Inc.",7/9/2010
AMEX,FITB,FIFTH THIRD BANCORP,3/26/2009
CBOE,FL,"FOOT LOCKER, INC.",11/21/2011
ISE,FLEX,FLEXTRONICS LTD,7/9/2010
ARCA,FLIR,FLIR SYSTEMS INC.,7/13/2010
AMEX,FNF,FIDELITY NATIONAL FINANCIAL,9/10/2013
AMEX,FNP,"Fifth & Pacific Companies, Inc.",5/16/2012
ISE,FNSR,Finisar Corporation,7/9/2010
ARCA,FORM,"FORM FACTOR , INC",2/15/2011
