Multi Weekly Symbols
AAL
ACN
AIG
AKAM
ALXN
ANF
ATVI
BA
BAC
BAX
CAT
COH
COP
CRM
DDD
DG
DHI
DNDN
DXJ
ESRX
FXI
GDXJ
GILD
GLW
HD
HLF
IWM
JCP
KGC
KO
KORS
LNKD
MBI
MDT
MNKD
MRVL
NOV
OXY
PCYC
QLIK
REGN
SLB
SRPT
SYY
TMUS
UNP
UTX
WFM
WFT
WMB
YELP
YNDX
Z
AAPL
AAPL7
ABX
AET
AGU
AMD
AMGN
AMT
AMZN
AMZN7
ARNA
AXP
BHI
BIIB
BP
CELG
CHK
CLF
COST
CSCO
CTSH
DD
DIS
EBAY
EOG
ETN
FAS
FAZ
FDO
FDX
FLR
GS
GT
HAL
IBM
INTC
ISRG
ITB
JNJ
JNPR
JOY
KSS
MA
MMM
MPC
MRK
MRO
MSFT
MU
NAV
NKE
NLY
NUE
OIH
PBR
PCLN
PG
PHM
QCOM
QCOR
RAD
SCO
SCTY
SLV
SNDK
SNE
SODA
T
TGT
TNA
TZA
UA
UCO
UNG
USO
VRTX
VZ
WAG
WFC
XOM
ZTS
ADM
AGNC
AGQ
BBRY
BIDU
BK
BMY
BTU
BX
C
CME
CMG
CMI
CREE
CRUS
CVX
CZR
DAL
DECK
DIA
DISH
DUST
EEM
EFA
EQIX
EWW
EWZ
EXXI
F
FB
FSLR
FXE
FXY
GDX
GE
GLD
GLD7
GM
GMCR
GNW
GOOG
GOOG7
HCA
HFC
HYG
INVN
IOC
IYR
JPM
LNG
LULU
MCD
MDY
MOS
MTG
NDX
NE
NFLX
NTAP
NUGT
NVDA
ORCL
P
PFE
POT
QIHU
QQQ
SDS
SINA
SIRI
SPWR
SPY
SPY7
SSO
STX
SVXY
TBT
TLT
TSLA
TWTR
UNH
USB
UUP
UVXY
V
VLO
VWO
VXX
WLT
WMT
WYNN
XHB
XLE
XLF
XLI
XLK
XLP
XLU
XLV
XLY
XOP
XRT
