Initiating Exchange,Option Symbol,Option Name,Program List Date
AMEX,DECK,DECKERS OUTDOORS CORPORATION,4/6/2011
CBOE,DG,Dollar General Corporation,6/13/2012
NSDQ,DGI,DigitalGlobe Inc.,1/3/2013
CBOE,DHR,DANAHER CORPORATION,2/22/2011
C2,DIS,WALT DISNEY COMPANY,10/9/2013
PHLX,DISH,Dish Network Corp,11/21/2013
ARCA,DKS,DICKS SPORTING GOODS INC,10/17/2012
ARCA,DLPH,Delphi Automotive PLC,5/7/2012
ARCA,DLTR,"Dollar Tree, Inc",2/16/2011
ISE,DNKN,Dunkin Brands Group Inc.,5/30/2012
ISE,DO,"DIAMOND OFFSHORE DRILLING, INC",4/7/2011
ARCA,DOX,AMDOCS LTD,12/27/2010
ARCA,DRI,DARDEN RESTAURANTS INC,9/20/2012
ISE,DTV,DIRECTV Common Stock,4/7/2011
PHLX,DUK,Duke Energy Corp. Holding Comp,7/26/2012
ISE,DVA,DaVita HealthCare Partners Inc.,9/26/2013
PHLX,DVN,DEVON ENERGY CORP.,5/18/2010
ISE,EBAY,EBAY INC,8/1/2012
AMEX,ECL,ECOLAB INC.,5/15/2009
NSDQ,ED,CON EDISON,1/4/2012
PHLX,EEP,"ENBRIDGE ENERGY PARTNERS ,  L.P.",7/1/2011
CBOE,EIX,EDISON INTERNATIONAL,8/3/2004
ISE,EL,"ESTEE LAUDER COMPANIES, INC.",4/7/2011
ARCA,EMN,EASTMAN CHEMICAL CO,1/27/2012
AMEX,EMR,EMERSON ELECTRIC CO,2/14/2011
BOX,EOG,"EOG RESOURCES, INC",11/1/2011
CBOE,EPB,"El Paso Pipeline Partners, LP",1/6/2012
PHLX,EPB,"El Paso Pipeline Partners, LP",1/6/2012
CBOE,EPD,ENTERPRISE PROD PARTNERS L.PI,2/3/2012
ARCA,EQR,EQUITY RESIDENTIAL,1/18/2011
C2,ESRX,Express Scripts Holding Company,9/29/2011
ISE,ESV,Ensco PLC,4/7/2011
CBOE,ETN,"Eaton Corporation, plc",11/20/2012
CBOE,ETP,Energy Transfer Partners LP,1/6/2012
PHLX,ETP,Energy Transfer Partners LP,1/6/2012
ISE,ETR,ENTERGY CORPORATION,4/12/2011
CBOE,EW,EDWARDS LIFESCIENCES CORP.,5/9/2013
CBOE,EXP,EAGLE MATERIALS INC.,7/18/2011
CBOE,FAST,FASTENAL COMPANY,11/4/2013
C2,FB,Facebook Inc.,10/9/2013
PHLX,FCX,FREEPORT MCMORAN COPPER - CL B,2/17/2011
AMEX,FDO,FAMILY DOLLAR STORES,4/6/2011
AMEX,FDX,FEDEX CORP,4/6/2011
BOX,FFIV,"F5 NETWORKS, INC.",11/1/2012
ISE,FLR,FLUOR CORP,4/7/2011
NOBO,FRAN,Francesca's Holding Corp.,3/14/2013
CBOE,FRX,"FOREST LABORATORIES, INC.",11/18/2013
ISE,FSLR,"First Solar, Inc.",5/9/2013
CBOE,FTI,"FMC TECHNOLOGIES, INC.",11/22/2011
ISE,GD,GENERAL DYNAMICS,4/12/2011
ISE,GDP,GOODRICH PETROLEUM CORPORATION,9/16/2013
ARCA,GEL,Genesis Energy L.P.,1/24/2012
PHLX,GG,GOLDCORP INC,1/25/2006
C2,GILD,"GILEAD SCIENCES, INC.",10/9/2013
ARCA,GIMO,Gigamon Inc,7/17/2013
ARCA,GIS,GENERAL MILLS,7/16/2013
PHLX,GMCR,"Green Mountain Coffee Roasters, Inc.",4/5/2011
CBOE,GNC,GNC Holdings Inc,1/9/2013
BOX,GOLD,RANDGOLD RESOURCES LIMITED,4/7/2011
ARCA,GPOR,Gulfport Energy Corporation,9/26/2012
AMEX,GRA,W.R. GRACE & CO.,5/15/2008
ISE,GS,GOLDMAN SACHS GROUP,7/23/2012
CBOE,GSK,GLAXOSMITHKLINE PLC,4/29/2013
PHLX,HAL,HALLIBURTON CO,4/5/2011
AMEX,HAR,HARMAN INTL. INDUSTRIES,8/13/2009
ARCA,HAS,"HASBRO, INC",12/7/2006
PHLX,HCN,Health Care REIT Inc.,4/25/2012
ARCA,HD,HOME DEPOT INC,3/21/2012
C2,HES,Hess Corporation,9/29/2011
BOX,HLF,HERBALIFE LTD,11/1/2011
AMEX,HNT,"HEALTH NET, INC",9/14/2004
PHLX,HON,HONEYWELL INTL INC (NEW),2/5/1999
C2,HOT,STARWOOD HOTELS & RESORTS,9/29/2011
CBOE,HP,HELMERICH & PAYNE INC,9/8/2009
C2,HPQ,HEWLETT PACKARD,9/29/2011
PHLX,HSBC,HSBC HOLDINGS PLC,11/29/2013
CBOE,HUM,HUMANA,2/12/2010
ISE,IBN,ICICI BANK LIMITED,4/7/2011
ISE,IDCC,InterDigital Inc,4/12/2011
AMEX,ILMN,"Illumina, Inc.",1/25/2012
AMEX,INFA,INFORMATICA CORPORATION,3/17/2010
AMEX,INFY,Infosys Ltd,6/24/2008
PHLX,INTU,INTUIT CORP,6/13/2003
ARCA,IOC,INTEROIL CORPORATION,9/8/2010
C2,IP,INTL PAPER,10/9/2013
CBOE,IR,Ingersoll-Rand plc,2/12/2010
AMEX,IRM,IRON MOUNTAIN INC.,1/26/2011
AMEX,ITW,ILLINOIS TOOL WORKS INC.,1/5/2010
AMEX,JNJ,JOHNSON & JOHNSON,5/18/2010
AMEX,JOY,JOY GLOBAL INC.,12/8/2011
NOBO,JPM,JPMORGAN CHASE & CO,2/12/2013
ARCA,JWN,NORDSTROM,10/12/2011
ISE,K,KELLOGG COMPANY,4/7/2011
ARCA,KMI,Kinder Morgan Inc.,11/15/2011
ARCA,KMP,KINDER MORGAN ENERGY PARTNERS,4/21/2004
CBOE,KMX,CARMAX INC.,11/1/2013
PHLX,KO,COCA-COLA COMPANY,10/22/2002
CBOE,KORS,Michael Kors Holdings Ltd,1/4/2013
PHLX,KRFT,"Kraft Foods Group, Inc.",10/2/2012
CBOE,KSS,KOHL'S CORP,7/21/2010
NOBO,LB,"L Brands,  Inc.",12/5/2013
BOX,LBTYA,Liberty Global plc Class A,6/18/2013
AMEX,LFC,"CHINA LIFE INSURANCE CO., LTD",3/11/2008
CBOE,LIFE,Life Technologies Corp,4/15/2013
ARCA,LLY,ELI LILLY & CO,9/6/2012
ISE,LMT,LOCKHEED MARTIN,4/7/2011
C2,LO,"Lorillard, Inc.",9/29/2011
C2,LOW,LOWES COS,11/19/2013
CBOE,LRCX,LAM RESEARCH CORP.,7/11/2013
AMEX,LUK,LEUCADIA NATIONAL CORP,7/1/2013
PHLX,LULU,Lululemon Athletica Inc.,4/5/2011
PHLX,LVS,Las Vegas Sands Corp,11/3/2010
ISE,LYB,LyondellBasell Industries NV,5/6/2013
ARCA,M,Macy's Inc,5/22/2013
C2,MCD,MCDONALDS CORP,9/29/2011
NSDQ,MCO,MOODY'S CORPORATION,2/4/2013
ISE,MDT,MEDTRONIC INC,5/23/2013
ARCA,MDVN,MEDIVATION INC,6/7/2013
AMEX,MEOH,Methanex Corp.,2/13/2012
ISE,MHFI,"McGraw Hill Financial, Inc.",9/25/2013
ISE,MLNX,Mellanox Technologies Ltd.,4/20/2012
CBOE,MMP,MAGELLAN MIDSTREAM PARTNERS L.P,7/15/2009
ISE,MNST,Monster Beverage Corporation,4/30/2012
PHLX,MON,MONSANTO COMPANY (NEW),5/11/2010
PHLX,MOS,The Mosaic Company (HOLDING COMPANY),8/20/2010
CBOE,MPC,Marathon Petroleum Corporation,10/25/2011
ARCA,MRK,MERCK & CO,6/4/2013
ARCA,MSI,Motorola Solutions Inc.,9/24/2012
AMEX,MTN,"Vail Resorts, Inc.",7/21/2010
BOX,MUR,MURPHY OIL CORPORATION,4/7/2011
CBOE,MW,"MEN'S WEARHOUSE, INC. (THE)",11/7/2013
CBOE,MWE,"Markwest Energy Partners, LP",10/31/2011
AMEX,MWV,MeadWestvaco Corporation,4/10/2008
CBOE,NBL,NOBLE ENERGY INC,8/13/2013
ISE,NEE,"NextEra Energy, Inc.",2/1/2012
